frame_num,bbox,class,id
3,[237.4679014   60.         268.51570189 140.        ],person,1
3,[248.07290838 158.         329.92709162 238.03387206],chair,2
3,[178.36978371 197.81132513 239.44154142 310.31670424],chair,3
3,[ 76.65941166 131.63650391 138.57322584 234.85279152],person,4
3,[325.37152715  67.78336881 365.86121711 141.76725574],person,6
3,[ 92.31810399  64.22883172 117.48474868 138.41013684],person,7
3,[303.0452279   64.45935068 327.9229709  150.        ],person,8
3,[419.0737113   60.75654624 462.16974246 107.        ],person,9
4,[237.43477522  60.         268.51810281 140.        ],person,1
4,[248.51885244 158.         329.48114756 237.33755703],chair,2
4,[179.99591043 198.85397374 239.6397251  308.12035082],chair,3
4,[ 77.00261007 130.9580694  138.70739496 233.93683233],person,4
4,[325.42948427  67.26009556 366.35695574 141.97909927],person,6
4,[ 92.65497471  64.01857086 118.18868231 138.67365454],person,7
4,[303.26784322  65.55957511 327.63702082 149.2401691 ],person,8
4,[419.10119244  60.97422656 461.924581   107.        ],person,9
5,[237.06818448  60.         268.14774796 140.        ],person,1
5,[247.70242033 158.         328.8204765  237.82758854],chair,2
5,[178.79080408 199.13708683 239.0898405  309.07841412],chair,3
5,[ 77.55931973 132.25873435 138.32253489 233.70542614],person,4
5,[325.04379636  67.07620295 366.19135038 142.0388484 ],person,6
5,[ 93.41931913  64.69978109 119.20100655 138.79832137],person,7
5,[303.4444741   66.6830324  327.4654434  148.99349475],person,8
5,[418.42380778  60.29575709 461.80080825 107.        ],person,9
6,[237.66648247  60.         268.74188576 140.        ],person,1
6,[247.89622192 158.         328.85023072 237.98994285],chair,2
6,[177.76335287 199.19883709 238.0797766  308.72866116],chair,3
6,[ 77.10817958 132.73469076 138.83961008 236.56542958],person,4
6,[325.44459894  67.72702089 366.31377552 142.05040353],person,6
6,[ 94.42406623  64.93616472 120.91255849 139.58459859],person,7
6,[303.48549228  67.03856058 327.43903911 148.92660393],person,8
6,[418.23046863  58.64119665 461.73604379 105.57673878],person,9
7,[237.50279814  60.         268.63241677 140.        ],person,1
7,[248.10353865 158.         327.3434431  236.64325023],chair,2
7,[177.9425353  198.48286408 240.03036504 310.78655855],chair,3
7,[ 77.51141843 133.59742808 138.46108261 236.17703259],person,4
7,[325.1827376   67.95574293 366.06002096 142.0473807 ],person,6
7,[ 90.94709472  63.61319559 118.27179029 140.5656332 ],person,7
7,[302.96484814  66.43181766 327.26613611 149.62207668],person,8
7,[418.01925285  58.20915947 461.62530764 105.25310363],person,9
7,[245.94819231 157.         327.28503556 240.20093478],dining table,11
8,[237.42529092  60.         268.61081319 140.        ],person,1
8,[247.98980731 158.         326.31106786 236.15254077],chair,2
8,[177.94493118 198.90534508 240.09357596 310.84528463],chair,3
8,[ 77.61466103 133.91439322 138.36892739 236.72616551],person,4
8,[325.42056701  68.03105728 366.32841455 142.04148416],person,6
8,[ 90.4986486   63.82109497 118.54479947 142.27570087],person,7
8,[303.06716108  67.58068789 326.92690279 149.1844201 ],person,8
8,[418.66471563  57.14205831 462.84585597 104.98710681],person,9
8,[246.1249009  157.         326.96519587 239.69300644],dining table,11
9,[237.37962773  60.         268.6214308  140.        ],person,1
9,[248.77953055 158.         325.81692176 235.29825675],chair,2
9,[176.79329376 198.36565732 240.57778282 312.93275678],chair,3
9,[ 78.13351137 134.02308542 138.53660791 236.92582589],person,4
9,[325.27571282  68.73486149 365.97520171 142.03558708],person,6
9,[ 89.19348363  63.23311966 117.77046394 142.90286001],person,7
9,[303.19317728  67.98935727 326.72789503 148.33686943],person,8
9,[418.84249931  56.87815563 463.0190593  104.89917877],person,9
9,[245.5108824  157.         326.59887391 239.90554798],dining table,11
10,[237.34612136  60.         268.64350271 140.        ],person,1
10,[248.5260706  158.         326.88581618 237.04149161],chair,2
10,[177.64758462 198.8328627  240.81928634 311.68311119],chair,3
10,[ 78.88491519 134.73233766 137.36137018 234.29262505],person,4
10,[325.40601851  68.9864235  365.660575   141.35011078],person,6
10,[ 87.706865    63.68472852 115.81396159 142.45268495],person,7
10,[302.93819394  68.80389291 326.28304354 148.03635525],person,8
10,[418.66003309  56.79855465 462.64906761 104.87582109],person,9
10,[245.3609564  157.         327.30269716 240.62378672],dining table,11
11,[237.31768586  60.         268.66909763 140.        ],person,1
11,[248.56472244 158.         326.48688267 237.01271921],chair,2
11,[177.43879111 199.0025103  240.09068852 310.52886971],chair,3
11,[ 79.63070968 134.98830743 137.13490128 232.62608556],person,4
11,[325.18648486  68.39060625 365.81447674 141.09634432],person,6
11,[ 87.39179988  63.86487912 115.51323446 142.92964015],person,7
11,[302.89443582  69.76316345 326.08296667 147.93715061],person,8
11,[418.96115829  56.78855908 462.80982729 104.87815704],person,9
11,[245.6372779  157.         327.91469859 240.86361428],dining table,11
12,[236.99694885  60.         268.32026614 140.        ],person,1
12,[248.69786226 158.         324.89119729 235.66341579],chair,2
12,[177.12476217 199.05765203 240.05272249 310.7798389 ],chair,3
12,[ 79.67111222 135.07142729 137.28154353 232.71613213],person,4
12,[325.12971783  68.16507305 365.84959242 141.00560022],person,6
12,[ 86.38194552  65.26628702 113.66190127 142.42879049],person,7
12,[303.03647452  68.7351048  326.54356096 147.91103425],person,8
12,[418.85349613  56.13535224 463.08994891 104.88890095],person,9
12,[245.0740119  157.         326.73473841 240.26368195],dining table,11
13,[237.17867526  60.         268.55783901 140.        ],person,1
13,[248.88521128 158.         326.85767479 237.84728281],chair,2
13,[176.50553721 197.06514378 241.21092569 312.2170535 ],chair,3
13,[ 80.34125228 137.11160243 136.67615059 232.09405603],person,4
13,[324.85695524  68.07672804 366.1168914  141.64381041],person,6
13,[ 83.78154119  65.79943704 110.51952757 141.55047631],person,7
13,[303.84375594  69.01508536 327.3033521  147.23878579],person,8
13,[421.47337476  55.90500959 464.50295552 103.57671675],person,9
13,[244.90015333 156.31616695 329.00801874 242.0978675 ],dining table,11
14,[237.23284779  60.         268.66459332 140.        ],person,1
14,[249.92868668 158.         328.59126394 238.64883101],chair,2
14,[176.67931225 197.64215074 240.57843007 311.43449486],chair,3
14,[ 80.32204355 137.86054648 136.71440593 232.56200135],person,4
14,[324.87866334  68.70587889 366.09527202 141.88414894],person,6
14,[ 81.13616515  65.32003782 108.39980815 141.88719222],person,7
14,[303.43449691  67.76026885 327.63488029 148.34084877],person,8
14,[422.2741717   55.83824027 465.23879837 103.75389707],person,9
14,[245.65223301 156.73771668 329.69020179 242.09514134],dining table,11
15,[236.95007391  60.         268.34447386 140.        ],person,1
15,[250.05622434 158.         327.5445762  237.62861627],chair,2
15,[176.43351784 197.20415847 240.64581733 311.79631811],chair,3
15,[ 80.70704128 138.11615863 137.00522089 232.07495483],person,4
15,[325.00188565  68.94119306 365.9743187  141.30819428],person,6
15,[ 78.07351097  67.13042815 105.78150806 142.67128593],person,7
15,[303.09947686  65.97329063 327.93987902 148.74946509],person,8
15,[420.5647594   55.82626361 463.51689821 103.82951647],person,9
15,[245.61677724 156.90299148 328.92228478 241.41365135],dining table,11
16,[236.85481955  60.         268.21450934 140.        ],person,1
16,[249.58917944 158.         327.65001456 238.56080256],chair,2
16,[176.98869988 197.70392582 240.68658691 311.27074522],chair,3
